clip_id,frame,time_sec,track_id,source_track_id,class_name,team,x,y,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,x_norm,y_norm,zone,calibration_id,calibration_status,calibration_confidence,track_quality,notes
video_836,122,2.043287,robot_bt_02,robot_bt_02,robot,neutral,239.58326721191406,1484.8538208007812,69.81570434570312,1263.396240234375,409.350830078125,1706.3114013671875,0.734375,0.176164,0.821269,unknown,none,uncalibrated,0.0,usable,
video_836,122,2.043287,robot_bt_03,robot_bt_03,robot,neutral,777.2344970703125,785.6986389160156,716.9754638671875,701.8161010742188,837.4935302734375,869.5811767578125,0.6875,0.571496,0.434568,unknown,none,uncalibrated,0.0,usable,
video_836,123,2.060035,ball_bt_01,ball_bt_01,ball,neutral,1100.1614379882812,742.4567260742188,1086.443359375,728.990478515625,1113.8795166015625,755.9229736328125,0.8046875,0.808942,0.410651,unknown,none,uncalibrated,0.0,usable,
video_836,123,2.060035,robot_bt_01,robot_bt_01,robot,neutral,946.677734375,781.1414184570312,879.2645263671875,688.205078125,1014.0909423828125,874.0777587890625,0.74609375,0.696087,0.432047,unknown,none,uncalibrated,0.0,usable,
video_836,123,2.060035,robot_bt_02,robot_bt_02,robot,neutral,238.85812759399414,1478.302490234375,69.25000762939453,1260.5234375,408.46624755859375,1696.08154296875,0.765625,0.175631,0.817645,unknown,none,uncalibrated,0.0,usable,
video_836,123,2.060035,robot_bt_03,robot_bt_03,robot,neutral,784.7792053222656,783.6447143554688,724.7685546875,699.916259765625,844.7898559570312,867.3731689453125,0.70703125,0.577044,0.433432,unknown,none,uncalibrated,0.0,usable,
video_836,124,2.076783,ball_bt_01,ball_bt_01,ball,neutral,1103.8443603515625,740.8940734863281,1090.2003173828125,727.23681640625,1117.4884033203125,754.5513305664062,0.78125,0.81165,0.409787,unknown,none,uncalibrated,0.0,usable,
video_836,124,2.076783,robot_bt_01,robot_bt_01,robot,neutral,942.2253112792969,780.1158142089844,876.0886840820312,686.1231689453125,1008.3619384765625,874.1084594726562,0.734375,0.692813,0.43148,unknown,none,uncalibrated,0.0,usable,
video_836,124,2.076783,robot_bt_02,robot_bt_02,robot,neutral,238.60553359985352,1469.5520629882812,70.80115509033203,1254.4122314453125,406.409912109375,1684.69189453125,0.7421875,0.175445,0.812805,unknown,none,uncalibrated,0.0,usable,
video_836,124,2.076783,robot_bt_03,robot_bt_03,robot,neutral,792.5744934082031,782.2848205566406,733.1566162109375,698.8596801757812,851.9923706054688,865.7099609375,0.703125,0.582775,0.43268,unknown,none,uncalibrated,0.0,usable,
video_836,125,2.093531,ball_bt_01,ball_bt_01,ball,neutral,1106.9031372070312,739.0646667480469,1093.3182373046875,725.3414306640625,1120.488037109375,752.7879028320312,0.78125,0.813899,0.408775,unknown,none,uncalibrated,0.0,usable,
video_836,125,2.093531,robot_bt_01,robot_bt_01,robot,neutral,939.3133239746094,780.6249694824219,873.7783203125,687.1963500976562,1004.8483276367188,874.0535888671875,0.80859375,0.690672,0.431762,unknown,none,uncalibrated,0.0,usable,
video_836,125,2.093531,robot_bt_02,robot_bt_02,robot,neutral,240.19860076904297,1462.3629760742188,74.06495666503906,1248.673095703125,406.3322448730469,1676.0528564453125,0.8046875,0.176617,0.808829,unknown,none,uncalibrated,0.0,usable,
video_836,125,2.093531,robot_bt_03,robot_bt_03,robot,neutral,799.9815368652344,780.0029907226562,740.8897094726562,696.6663208007812,859.0733642578125,863.3396606445312,0.734375,0.588222,0.431418,unknown,none,uncalibrated,0.0,usable,
video_836,126,2.11028,ball_bt_01,ball_bt_01,ball,neutral,1109.858154296875,737.7084045410156,1095.900390625,724.1505126953125,1123.81591796875,751.2662963867188,0.78515625,0.816072,0.408025,unknown,none,uncalibrated,0.0,usable,
video_836,126,2.11028,robot_bt_01,robot_bt_01,robot,neutral,935.8810729980469,780.705810546875,870.1011962890625,687.6137084960938,1001.6609497070312,873.7979125976562,0.6875,0.688148,0.431806,unknown,none,uncalibrated,0.0,usable,
